id,question,gold_answer,model_answer,sample_1,sample_2,sample_3,agreement_count,confidence,elapsed_sec
101,What non-fiction books has the author who has written books about the loyalist paramilitary Michael Stone and Special Air Service founder who During the course of the Second World War he became one of the British Army's most highly decorated soldiers?,the Troubles,"He wrote books about Michael Stone and Paddy Mayne, but the question only asks for the non-fiction books about ""the Troubles"" that are not specified.","He wrote books about Michael Stone and Paddy Mayne, but the question only asks for the non-fiction books about ""the Troubles"" that are not specified.","Books about Michael Stone and Paddy Mayne, and non-fiction books about ""the Troubles"".","Books about Michael Stone and Paddy Mayne are mentioned, but the specific titles are not provided in the context.",1,LOW,13.7
102,What country of origin does Squirrel Nut Zippers and Sponge have in common?,American,The United States.,The United States.,The United States.,United States.,2,HIGH,6.0
103,Hollywood Casino is owned by the company based in what Pennsylvania town?,Wyomissing,"Wyomissing, Pennsylvania.","Wyomissing, Pennsylvania.","Wyomissing, Pennsylvania.",Wyomissing.,2,HIGH,6.3
104,"In which year was this American actor, director, writer, producer, dancer and musician born who directed the film ""One, Two, Many?""",1965,1965.,1965.,"I couldn't find any information about an American actor, director, writer, producer, dancer, and musician born in the context of the film ""One, Two, Many"".","I couldn't find any information about the actor directing the film ""One, Two, Many"". The available context only mentions Michael DeLorenzo as the director.",1,LOW,14.1
105,The Clausius–Clapeyron relation was named after a German physicist and mathematician who is considered one of the central founders of what area of science?,the science of thermodynamics,Thermodynamics.,Thermodynamics.,Thermodynamics.,Thermodynamics.,3,HIGH,5.9
106,"When was Elvis Presley's ""G.I. Blues"" which was released for the motion picture ""G.I. Blues""'s soundtrack?",October 1960,"I cannot verify when Elvis Presley's ""G.I. Blues"" was released for the motion picture ""G.I. Blues""'s soundtrack.","I cannot verify when Elvis Presley's ""G.I. Blues"" was released for the motion picture ""G.I. Blues""'s soundtrack.","I cannot verify when Elvis Presley's ""G.I. Blues"" was released for the motion picture ""G.I. Blues""'s soundtrack.","I couldn't find any information on Elvis Presley's ""G.I. Blues"" in the provided context.",2,HIGH,15.2
107,AeroLogic is a joint venture between Lufthansa and the division of what logistics company?,Deutsche Post DHL,DHL Express.,DHL Express.,Deutsche Post DHL.,DHL Express.,2,HIGH,7.3
108,"What French formula racing driver that was 2014 Formula Renault 3.5 Series runner-up drove the Toro Rosso STR12 in 2017, a Formula One racing car designed and constructed by Scuderia Toro Rosso?",Pierre Gasly,Pierre Gasly drove the Toro Rosso STR12 in 2017.,Pierre Gasly drove the Toro Rosso STR12 in 2017.,Pierre Gasly drove the Toro Rosso STR12 in 2017.,Pierre Gasly drove the Toro Rosso STR12 in 2017.,3,HIGH,11.6
109,"Amber Calling are an Australian pop punk and emo band from Adelaide, which formed in 2005 as 919, during their career they have supported shows by Panic! at the Disco, an American rock band from Las Vegas, Nevada, formed in what year?",2004,Panic! at the Disco was formed in 2004.,Panic! at the Disco was formed in 2004.,Panic! at the Disco was formed in 2004.,Panic! at the Disco formed in 2004.,2,HIGH,9.5
110,"The music program ""Yesterday"" was named after a song from what Beatles album?",Help!,"The Beatles' album ""Help!"".","The Beatles' album ""Help!"".","""Rubber Soul"".","""Help!""",1,LOW,7.9
111,The Trenton Prong is a section of the Piedmont province of what that was formed roughly 480 million years ago?,The Appalachian Mountains,The Appalachians.,The Appalachians.,The Appalachians.,The Appalachian Mountains.,2,HIGH,6.0
112,"Debuting in the 2004 American teen musical comedy film Confessions of a Teenage Drama Queen, Megan Fox went on to co-star in what 2007 blockbuster action film?",Transformers,Transformers.,The Transformers.,Transformers.,Transformers.,2,HIGH,5.7
113,Who writes poetry such as Glaring Through Oblivion as well as leading the heavy metal band System Of A Down?,Serj Tankian,Serj Tankian.,Serj Tankian.,Serj Tankian.,Serj Tankian.,3,HIGH,6.8
114,Heartsounds was made into a 1984 film starring an actor who died in what year?,2014,"I do not see any information about ""Heartsounds"" in the provided context.","I do not see any information about ""Heartsounds"" in the provided context.","I couldn't find any information about ""Heartsounds"" being made into a 1984 film.","I couldn't find any information on ""Heartsounds"" being a song or film.",1,LOW,10.5
115,Dean McCarthy played a boy becoming what in an adaptation of Billy Elliott? ,professional ballet dancer,A professional ballet dancer.,A professional ballet dancer.,A professional ballet dancer.,A professional ballet dancer.,3,HIGH,6.0
116,The 3852 Democratic National Convention nominated Franklin Pierce over what American military officer who represented Michigan in the United States Senate?,Lewis Cass,Lewis Cass.,Lewis Cass.,Lewis Cass.,Lewis Cass.,3,HIGH,6.3
117,What medium-sized bear native to North America can be seen in Harriman State Park?,American black bear,"There is no information provided about Harriman State Park, so I cannot answer this question.","There is no information provided about Harriman State Park, so I cannot answer this question.",I cannot verify what bear species can be seen in Harriman State Park.  Can I help you with something else?,"I cannot provide information about what bear can be seen in Harriman State Park as I don't have information about it, but I can tell you that the American black bear is a medium-sized bear native to North America.",1,LOW,16.3
118,What company produced both The Barefoot Executive and The Last Flight of Noah's Ark?,Walt Disney,Walt Disney Productions produced both The Barefoot Executive and The Last Flight of Noah's Ark.,Walt Disney Productions produced both The Barefoot Executive and The Last Flight of Noah's Ark.,Walt Disney Productions produced both films.,Walt Disney Productions.,1,LOW,9.1
119,What politician from New York served two terms representing New York in the United States Senate? ,Hillary Rodham Clinton,Hillary Rodham Clinton served two terms representing New York in the United States Senate.,Hillary Rodham Clinton served two terms representing New York in the United States Senate.,Hillary Rodham Clinton served two terms representing New York in the United States Senate.,Hillary Rodham Clinton served two terms representing New York in the United States Senate.,3,HIGH,10.8
120,Trim is a transitway station in the east end of a city that as of 2016 had a population of what?,"934,243","934,243.","934,243.","934,243.","934,243.",3,HIGH,5.1
121,The manager in which Mark Lazarus clashed with served as manager for the Wolverhampton Wanderers during which years?,1948 and 1964,I couldn't find any information about a person named Mark Lazarus in the provided context.,I couldn't find any information about a person named Mark Lazarus in the provided context.,"I couldn't find any information about a person named Mark Lazarus. However, I can answer the question about the manager who served at Wolverhampton Wanderers during a different time.

Stan Cullis served as manager of Wolverhampton Wanderers between 1948 and 1964.",I cannot verify the name of the manager that Mark Lazarus clashed with.,1,LOW,16.1
122,In which city did this world games take place when Squash was added as part of the world games?,"Lahti, Finland","Lahti, Finland.","Lahti, Finland.","The 1997 World Games, when squash was added, took place in Lahti, Finland.","Lahti, Finland.",2,HIGH,8.8
123,Are Latina and Entrepreneur both monthly publications?,no,"No, Latina is an annual publication.","No, Latina is an annual publication.","No, Latina is a 12-issue annual publication, not monthly.","No, Latina is an annual publication, while Entrepreneur is a monthly publication.",1,LOW,8.5
124,Are Lucie Šafářová and Pavel Složil both Czech tennis players?,yes,"No, Pavel Složil is from Czechoslovakia, not the Czech Republic.","No, Pavel Složil is from Czechoslovakia, not the Czech Republic.","No, Pavel Složil is a Czechoslovakian, not just Czech.",Yes.,1,LOW,8.2
125,What post apocalyptic action film based on a novel by Francis Lawrence was directoed by Neal H. Moritz?,I Am Legend,There is no factual answer to this question as it contains incorrect information.,There is no factual answer to this question as it contains incorrect information.,I couldn't find any information about a post-apocalyptic action film based on a novel by Francis Lawrence directed by Neal H. Moritz.,"There is no factual answer, as the provided context does not mention a post-apocalyptic action film directed by Neal H. Moritz, nor does it mention a Francis Lawrence novel.",1,LOW,13.9
126,Space Island One starred what English actress who is married to roy battersby,Judy Loe,I couldn't find any information about Judy Loe being married to Roy Battersby.,I couldn't find any information about Judy Loe being married to Roy Battersby.,I couldn't find any information about a person named Roy Battersby being married to Judy Loe.,I couldn't find any information linking Judy Loe to Roy Battersby.,1,LOW,11.4
127,Who directed a film that included Sarah Manninen?,Martha Coolidge,"Martha Coolidge directed the film ""The Prince and Me"".","Martha Coolidge directed the film ""The Prince and Me"".","Martha Coolidge directed the film ""The Prince and Me"" that included Sarah Manninen.","Martha Coolidge directed the film ""The Prince and Me"", which includes Sarah Manninen.",1,LOW,10.4
128,How much money did the owner of the 165 acre drumlin or the mansion that sits on the hill donate to the construction fund for the Benjamin Stickney Cable Memorial Hospital?,"$145,000",There is no information about the Benjamin Stickney Cable Memorial Hospital or a donation to its construction fund in the provided context.,There is no information about the Benjamin Stickney Cable Memorial Hospital or a donation to its construction fund in the provided context.,I couldn't find any information about the owner of the 165 acre drumlin or the mansion donating money to the construction fund for the Benjamin Stickney Cable Memorial Hospital.,There is no information about the Benjamin Stickney Cable Memorial Hospital or any donation to its construction fund in the provided context.,1,LOW,14.5
129,Were James Lee Burke and William Faulkner from the same country?,yes,Yes.,"No, James Lee Burke and William Faulkner were not from the same country.",Yes.,Yes.,2,HIGH,6.8
130,Kentucky is located in a region of america which constitutes as what?,one of the nine Census Bureau Divisions,East South Central States.,East South Central States.,The East South Central States.,East South Central States.,2,HIGH,5.8
131,"270 Park Avenue and The Spiral, are located in which city?",New York City,New York City.,New York City.,New York City.,New York City.,3,HIGH,5.8
132,In what city is George Washington University Hospital and Psychiatric Institute of Washington located?,"Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.",3,HIGH,5.3
133,Grazia and JJ are both what?,magazine,International editions of women's magazines.,International editions of women's magazines.,International magazines.,International women's fashion and lifestyle magazines.,1,LOW,6.6
134,Jeremy Theobald and Christoper Nolan share what profession?,producer,Filmmaking.,Filmmaking.,Film production.,Film directing.,1,LOW,5.6
135," When was president of South Korea which  The Presidential Council on Nation Branding, Korea  lies under his direct control born ",24 January 1953,Moon Jae-in was born on 24 January 1953.,Moon Jae-in was born on 24 January 1953.,24 January 1953,24 January 1953.,1,LOW,7.7
136,"Danish ice hockey coach, Olaf Eller, is the father of Danish professional ice hockey player who was drafted by what team in the first round of the 2007 NHL Entry Draft?",St. Louis Blues,The St. Louis Blues.,The St. Louis Blues.,The St. Louis Blues.,The St. Louis Blues.,3,HIGH,8.4
137,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,"She received the awards for her performance in ""Sex and the City"".","She received the awards for her performance in ""Sex and the City"".",Sex and the City,Sex and the City.,1,LOW,8.7
138,"What is the stage name for actor who co-stared the 2016 film ""Train to Busan"" with Jung Yu-mi and Ma Dong-seok?",Gong Yoo,Gong Yoo.,Gong Yoo.,"Gong Yoo is the stage name of the actor who co-starred in the 2016 film ""Train to Busan"" with Jung Yu-mi and Ma Dong-seok.",Gong Yoo.,2,HIGH,11.3
139,"The Domestic Violence Offender Gun Ban, is an amendment to the Omnibus Consolidated Appropriations Act of 1997, the act is often referred to as ""the Lautenberg Amendment"" after its sponsor, Senator Frank Lautenberg, was a United States Senator, and member of the Democratic Party, from which state?",New Jersey,New Jersey.,New Jersey.,New Jersey.,New Jersey.,3,HIGH,6.6
140,"Which rocket propelled weapon, sometimes referred to as the ""Stovepipe,"" did Colonel Leslie Alfred Skinner help develop?",Bazooka,The Bazooka.,The Bazooka.,The Bazooka.,The Bazooka.,3,HIGH,6.3
141,Lars Kristinus Larsen is the founder of the largest Danish retailer operating internationally with stores in how many countries?,41,41 countries.,41 countries.,41 countries.,41 countries.,3,HIGH,6.0
142,Where is the headquarters of the company who launched the Fridge advertising campaign?,"London, England","Diageo plc is headquartered in London, England.","Diageo plc is headquartered in London, England.",Diageo plc.,"London, England.",1,LOW,6.0
143,In what year was Louis Joseph de Frances's mother born?,1755,1755.,2 November 1755.,1755.,1755.,2,HIGH,5.8
144,"The band who had the album ""Brujo"" came from what city?","San Francisco, California","San Francisco, California.","San Francisco, California.","San Francisco, California.","San Francisco, California.",3,HIGH,5.7
145,Which television channel had a show set at a location adjacent to Silverado Ranch?,Travel Channel,ABC.,ABC.,"ABC had a show set at a location adjacent to Silverado Ranch, which was the setting for the Bronco series.","ABC had a show called Bronco, which was set at Silverado Ranch.",1,LOW,9.3
146,What television adaptation contains a character who was also adapted into a 2005 superhero film?,Gotham,"The animated series ""Justice League"" contains a character who was also adapted into the 2005 superhero film ""Batman Begins"", however, it is more accurate to say it contains Superman, who was also adapted into the 2013 film ""Man of Steel"".","The animated series ""Justice League"" contains a character who was also adapted into the 2005 superhero film ""Batman Begins"", however, it is more accurate to say it contains Superman, who was also adapted into the 2013 film ""Man of Steel"".","The animated series ""Justice League""/""Justice League Unlimited"" contains a character who was also adapted into a 2005 superhero film.",The Justice League Unlimited television adaptation contains a character who was also adapted into a 2005 superhero film.,1,LOW,17.2
147,"What site, popular among spring breakers, were also places were Jeopardy! Collect Championship contestant searches was held?","Daytona Beach, Florida","Daytona Beach, Florida and Palm Springs, California.","Daytona Beach, Florida and Palm Springs, California.","Daytona Beach, Florida and Palm Springs, California.","Daytona Beach, Florida and Palm Springs, California.",3,HIGH,8.8
148,"The 2011 Copa del Rey was a specific type of rivalry, given this name to any match between which groups?",Real Madrid and FC Barcelona,Real Madrid and FC Barcelona.,Real Madrid and FC Barcelona.,Real Madrid and FC Barcelona.,Real Madrid and FC Barcelona.,3,HIGH,6.4
149,"Youthquake is the second album by the British pop group Dead or Alive, released in May 1985, the album was their commercial breakthrough in Europe and the United States, due to which lead single, which was the song was the first UK number-one hit by the Stock Aitken Waterman production trio?",You Spin Me Round (Like a Record),"""You Spin Me Round (Like a Record)"" was the lead single that was the first UK number-one hit by the Stock Aitken Waterman production trio.","""You Spin Me Round (Like a Record)"" was the lead single that was the first UK number-one hit by the Stock Aitken Waterman production trio.","""You Spin Me Round (Like a Record)"" was the lead single from Dead or Alive's album ""Youthquake"".","""You Spin Me Round (Like a Record)""",1,LOW,13.8
