id,question,gold_answer,model_answer,llama_answer,qwen_answer,consensus_status,confidence,elapsed_sec,needs_review
122,In which city did this world games take place when Squash was added as part of the world games?,"Lahti, Finland","Lahti, Finland.","Lahti, Finland.",Lahti,AGREE,HIGH,5.0,NO
123,Are Latina and Entrepreneur both monthly publications?,no,"No, Latina is an annual publication.","No, Latina is an annual publication.",No,AGREE,LOW,3.2,YES
124,Are Lucie Šafářová and Pavel Složil both Czech tennis players?,yes,"No, Pavel Složil is from Czechoslovakia, not the Czech Republic.","No, Pavel Složil is from Czechoslovakia, not the Czech Republic.",Yes,DISAGREE,LOW,3.4,YES
125,What post apocalyptic action film based on a novel by Francis Lawrence was directoed by Neal H. Moritz?,I Am Legend,There is no factual answer to this question as it contains incorrect information.,There is no factual answer to this question as it contains incorrect information.,There is no such film based on a novel by Francis Lawrence directed by Neal H. Moritz.,DISAGREE,LOW,5.6,YES
126,Space Island One starred what English actress who is married to roy battersby,Judy Loe,I couldn't find any information about Judy Loe being married to Roy Battersby.,I couldn't find any information about Judy Loe being married to Roy Battersby.,Judy Loe,AGREE,LOW,4.1,YES
127,Who directed a film that included Sarah Manninen?,Martha Coolidge,"Martha Coolidge directed the film ""The Prince and Me"".","Martha Coolidge directed the film ""The Prince and Me"".",Martha Coolidge directed a film that included Sarah Manninen.,DISAGREE,LOW,4.8,YES
128,How much money did the owner of the 165 acre drumlin or the mansion that sits on the hill donate to the construction fund for the Benjamin Stickney Cable Memorial Hospital?,"$145,000",There is no information about the Benjamin Stickney Cable Memorial Hospital or a donation to its construction fund in the provided context.,There is no information about the Benjamin Stickney Cable Memorial Hospital or a donation to its construction fund in the provided context.,"$145,000",DISAGREE,LOW,4.4,YES
129,Were James Lee Burke and William Faulkner from the same country?,yes,Yes.,Yes.,No,DISAGREE,HIGH,3.6,YES
130,Kentucky is located in a region of america which constitutes as what?,one of the nine Census Bureau Divisions,East South Central States.,East South Central States.,Census Bureau Division,DISAGREE,HIGH,3.5,YES
131,"270 Park Avenue and The Spiral, are located in which city?",New York City,New York City.,New York City.,New York City,AGREE,HIGH,4.0,NO
132,In what city is George Washington University Hospital and Psychiatric Institute of Washington located?,"Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.",AGREE,HIGH,3.1,NO
133,Grazia and JJ are both what?,magazine,International editions of women's magazines.,International editions of women's magazines.,Women's and fashion and lifestyle magazines,DISAGREE,LOW,4.1,YES
134,Jeremy Theobald and Christoper Nolan share what profession?,producer,Filmmaking.,Filmmaking.,Actor and film director,DISAGREE,LOW,4.4,YES
135," When was president of South Korea which  The Presidential Council on Nation Branding, Korea  lies under his direct control born ",24 January 1953,Moon Jae-in was born on 24 January 1953.,Moon Jae-in was born on 24 January 1953.,"November 29, 1925",DISAGREE,LOW,5.3,YES
136,"Danish ice hockey coach, Olaf Eller, is the father of Danish professional ice hockey player who was drafted by what team in the first round of the 2007 NHL Entry Draft?",St. Louis Blues,The St. Louis Blues.,The St. Louis Blues.,St. Louis Blues,AGREE,HIGH,5.6,NO
137,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,"She received the awards for her performance in ""Sex and the City"".","She received the awards for her performance in ""Sex and the City"".","""Sex and the City""",AGREE,LOW,6.0,YES
138,"What is the stage name for actor who co-stared the 2016 film ""Train to Busan"" with Jung Yu-mi and Ma Dong-seok?",Gong Yoo,Gong Yoo.,Gong Yoo.,Gong Yoo,AGREE,HIGH,4.7,NO
139,"The Domestic Violence Offender Gun Ban, is an amendment to the Omnibus Consolidated Appropriations Act of 1997, the act is often referred to as ""the Lautenberg Amendment"" after its sponsor, Senator Frank Lautenberg, was a United States Senator, and member of the Democratic Party, from which state?",New Jersey,New Jersey.,New Jersey.,New Jersey,AGREE,HIGH,4.9,NO
140,"Which rocket propelled weapon, sometimes referred to as the ""Stovepipe,"" did Colonel Leslie Alfred Skinner help develop?",Bazooka,The Bazooka.,The Bazooka.,The Bazooka.,AGREE,HIGH,4.1,NO
141,Lars Kristinus Larsen is the founder of the largest Danish retailer operating internationally with stores in how many countries?,41,41 countries.,41 countries.,41,AGREE,HIGH,3.9,NO
142,Where is the headquarters of the company who launched the Fridge advertising campaign?,"London, England","Diageo plc is headquartered in London, England.","Diageo plc is headquartered in London, England.","London, England",AGREE,LOW,2.9,YES
143,In what year was Louis Joseph de Frances's mother born?,1755,1755.,1755.,1755,AGREE,HIGH,4.2,NO
144,"The band who had the album ""Brujo"" came from what city?","San Francisco, California","San Francisco, California.","San Francisco, California.",San Francisco,AGREE,HIGH,3.1,NO
145,Which television channel had a show set at a location adjacent to Silverado Ranch?,Travel Channel,ABC.,ABC.,ABC,AGREE,LOW,3.5,YES
146,What television adaptation contains a character who was also adapted into a 2005 superhero film?,Gotham,"The animated series ""Justice League"" contains a character who was also adapted into the 2005 superhero film ""Batman Begins"", however, it is more accurate to say it contains Superman, who was also adapted into the 2013 film ""Man of Steel"".","The animated series ""Justice League"" contains a character who was also adapted into the 2005 superhero film ""Batman Begins"", however, it is more accurate to say it contains Superman, who was also adapted into the 2013 film ""Man of Steel"".",Justice League,AGREE,LOW,4.5,YES
147,"What site, popular among spring breakers, were also places were Jeopardy! Collect Championship contestant searches was held?","Daytona Beach, Florida","Daytona Beach, Florida and Palm Springs, California.","Daytona Beach, Florida and Palm Springs, California.","Daytona Beach, Florida",AGREE,HIGH,4.2,NO
148,"The 2011 Copa del Rey was a specific type of rivalry, given this name to any match between which groups?",Real Madrid and FC Barcelona,Real Madrid and FC Barcelona.,Real Madrid and FC Barcelona.,Real Madrid and FC Barcelona,AGREE,HIGH,4.1,NO
149,"Youthquake is the second album by the British pop group Dead or Alive, released in May 1985, the album was their commercial breakthrough in Europe and the United States, due to which lead single, which was the song was the first UK number-one hit by the Stock Aitken Waterman production trio?",You Spin Me Round (Like a Record),"""You Spin Me Round (Like a Record)"" was the lead single that was the first UK number-one hit by the Stock Aitken Waterman production trio.","""You Spin Me Round (Like a Record)"" was the lead single that was the first UK number-one hit by the Stock Aitken Waterman production trio.","""You Spin Me Round (Like a Record)""",AGREE,LOW,5.7,YES
