id,question,gold_answer,model_answer,elapsed_sec
63,In what year did the water park that Surfrider is part of rank first in Australia?,2009,"1. The question is asking for the year when the water park that Surfrider is part of, Wet'n'Wild Gold Coast, ranked first in Australia.

2. The relevant parts of the context are the information about Wet'n'Wild Gold Coast receiving 1,095,000 visitors in 2009.

3. The answer is based on the context, which states that Wet'n'Wild Gold Coast received 1,095,000 visitors in 2009, ranking it first in Australia.

FINAL_ANSWER: 2009",17.8
64,"Ricardo Viñes, a Spanish pianist, premiered the works of Maurice Ravel, who is associated with what style?",impressionism,"1. The question is asking about the style associated with Maurice Ravel.
2. The relevant parts of the context are the first paragraph, which mentions Ravel and his association with impressionism, and the context about Ariel Ramírez, which does not mention Ravel but provides information about his style.
3. The answer is based on the context that Ravel is often associated with impressionism, although he rejected the term.

FINAL_ANSWER: impressionism",17.3
65,Which 'My Name Is Earl' star is also know for his role in a advertising campaign for OfficeMax?,Eddie Steeples,"1. The question is asking for the actor from ""My Name Is Earl"" who is also known for his role in an OfficeMax advertising campaign.

2. The relevant parts of the context are the information about Eddie Steeples' roles, including his appearance in an OfficeMax advertising campaign, and his role as Darnell Turner on ""My Name Is Earl"".

3. Based on the context, the answer is Eddie Steeples, as he is the actor known for his role in the OfficeMax advertising campaign.

FINAL_ANSWER: Eddie Steeples",20.1
66,What actor starred on the Defenders in the 1960s as well as in At Mother's Request,E. G. Marshall,"1. The question is asking for the actor who starred in ""The Defenders"" in the 1960s and also appeared in ""At Mother's Request"".
2. The relevant parts of the context are E. G. Marshall's role as Lawrence Preston on ""The Defenders"" in the 1960s and the fact that the question is asking about ""At Mother's Request"", which is not explicitly mentioned in the context.
3. However, since the context does not provide information about ""At Mother's Request"", we can infer that the question is likely referring to ""At Mother's Request"" is not mentioned in the context, but we can look for an alternative answer based on the information provided. Unfortunately, the context does not provide enough information to determine the correct answer.

FINAL_ANSWER: E. G. Marshall",25.9
67,Are Macworld and College Humor both magazines?,no,"1. The question is asking whether Macworld and College Humor are both magazines.
2. The relevant parts of the context are the descriptions of Macworld and College Humor.
3. Macworld is described as a website, while College Humor is described as a magazine. Therefore, the answer is no, Macworld and College Humor are not both magazines.

FINAL_ANSWER: Macworld and College Humor are not both magazines.",14.7
68,"Francesco Rospigliosi Pallavicini was born in Rome, in what was then which territories in the Italian Peninsula under the sovereign direct rule of the pope, from the 8th century until 1870?",Papal States,"1. The question is asking for the territories in the Italian Peninsula under the sovereign direct rule of the pope from the 8th century until 1870 where Francesco Rospigliosi Pallavicini was born.
2. The relevant parts of the context are the description of the Papal States, specifically that they were territories in the Italian Peninsula under the sovereign direct rule of the pope from the 8th century until 1870.
3. Based on the context, the answer is that Francesco Rospigliosi Pallavicini was born in the Papal States.

FINAL_ANSWER: The Papal States.",20.1
69,What country are both Kopparvallen and Conny Torstensson from?,Sweden,"The question is asking for the country of origin of both Kopparvallen and Conny Torstensson.

The relevant parts of the context are Kopparvallen, which is described as a stadium in Åtvidaberg, Sweden, and Conny Torstensson, who is a former footballer from Sweden.

The answer is based on the fact that both Kopparvallen and Conny Torstensson are described as being from Sweden.

FINAL_ANSWER: Sweden",16.0
70,"Which film director directed the internet video serial ""God, Inc."", Roman Karmen or Francis Stokes?",Francis Stokes,"1. The question is asking which film director directed the internet video serial ""God, Inc."".
2. The relevant parts of the context are the biographies of Francis Stokes and Roman Karmen.
3. The answer is based on the context that Francis Stokes is the writer and director of the internet video serial ""God, Inc."".

FINAL_ANSWER: Francis Stokes",14.1
71,Lisa Brennan-Jobs is the daughter of which painter and writer?,Chrisann Brennan,"1. The question is asking for the parent of Lisa Brennan-Jobs, specifically the parent who is a painter and writer.
2. The relevant parts of the context are Chrisann Brennan's biography, which mentions her as a painter and writer, and her relationship with Steve Jobs.
3. Based on the context, Lisa Brennan-Jobs is the daughter of Chrisann Brennan, the painter and writer.

FINAL_ANSWER: Chrisann Brennan is the painter and writer who is Lisa Brennan-Jobs' mother.",16.5
72,"Goose Rocks Light is a sparkplug lighthouse located near North Haven, Maine in which location, an inlet of the Gulf of Maine and Atlantic Ocean in south central Maine?",Penobscot Bay,"1. The question is asking for the location where Goose Rocks Light is situated.
2. The relevant parts of the context are the descriptions of Goose Rocks Light and Penobscot Bay.
3. Based on the context, Goose Rocks Light is a sparkplug lighthouse located near North Haven, Maine in Penobscot Bay.

FINAL_ANSWER: Penobscot Bay",13.2
73,What communications officer was on the staff of a fleet admiral in the United States Navy?,"John ""Jack"" Roland Redman","1. The question is asking for the identity of a communications officer who served on the staff of a fleet admiral in the United States Navy.
2. The relevant parts of the context are the biographies of John ""Jack"" Roland Redman and Chester William Nimitz.
3. Based on the context, John ""Jack"" Roland Redman was a communications officer who played key roles in signals intelligence during World War II in Washington, D.C., and on the staff of Admiral Chester W. Nimitz.

FINAL_ANSWER: John ""Jack"" Roland Redman",22.3
74,"Titan and Balderdash, are which specific type of entertainment?",board game,"1. The question is asking what type of entertainment Titan and Balderdash are.
2. The relevant parts of the context are the descriptions of Titan as a roller coaster and Balderdash as a board game.
3. Based on the context, Titan and Balderdash are both types of amusement park rides and board games, respectively.

FINAL_ANSWER: amusement park rides and board games.",13.2
75,In what state did Olivia Newton-John perform Summer Nights? ,Nevada,"1. The question is asking where Olivia Newton-John performed her debut residency show ""Summer Nights"".
2. The relevant parts of the context are the information about Olivia Newton-John's residency show ""Summer Nights"" and the location of the Flamingo Las Vegas hotel and casino.
3. The answer is based on the fact that the residency show ""Summer Nights"" takes place in the Flamingo Las Vegas, which is located in Nevada, but the question is asking for the state, not the location. However, the context does not explicitly state the state, but it does mention that the Flamingo Las Vegas is located on the Las Vegas Strip in Paradise, Nevada, which is a county in the state of Nevada. Therefore, we can infer that the state is Nevada.

FINAL_ANSWER: Nevada",24.5
76,Who was an American lawyer with a family of Scots-Irish ancestry of the Methodist faith from the patrilineal lineage?,George Franklin Getty,"1. The question is asking for the identity of an American lawyer with a family of Scots-Irish ancestry and a specific faith.
2. The relevant parts of the context are the information about Osceola, the Ulster Scots, and Stephen James Meridith Brown, as none of the other context mentions an American lawyer.
3. However, none of the provided context matches the description of an American lawyer with a family of Scots-Irish ancestry of the Methodist faith from a patrilineal lineage.

FINAL_ANSWER: There is no information in the provided context to answer this question.",20.0
77,"What collegiate athletic conference headquartered in Birmingham, Alabama includes schools such as Texas Southern University?",Southwestern Athletic Conference,"1. The question is asking for the name of the collegiate athletic conference that includes Texas Southern University.
2. The relevant parts of the context are the descriptions of the Southwestern Athletic Conference (SWAC) and Texas Southern University.
3. The answer is based on the context, which states that Texas Southern University is a member of the SWAC.

FINAL_ANSWER: The Southwestern Athletic Conference (SWAC).",15.2
78,Foxcatcher is a 2014 American true crime sports drama film about a wrestling team set up in what state?,Pennsylvania,"1. The question is asking for the location where the wrestling team set up in the film ""Foxcatcher"" is situated.
2. The relevant parts of the context are the description of the film's plot and the details about the Foxcatcher wrestling team, which is set up on the estate of millionaire philanthropist John du Pont in Pennsylvania.
3. The answer is based on the context, which states that the Foxcatcher wrestling team was set up on John du Pont's estate in Pennsylvania.

FINAL_ANSWER: Pennsylvania",18.8
79,What is the nationality of the 2003 FIBA Under-19 World Championship MVP ?,Australian,"1. The question is asking for the nationality of the 2003 FIBA Under-19 World Championship MVP, but the context does not provide information about this specific award or its winner.

2. The relevant parts of the context are the biographies of Juan Carlos Ferrero Donat, Stanislas Wawrinka, and Andrew Bogut, but none of them are related to the 2003 FIBA Under-19 World Championship MVP.

3. Since the context does not provide information about the 2003 FIBA Under-19 World Championship MVP, the answer cannot be determined based on the provided context.

FINAL_ANSWER: The information is not available.",22.0
80,Did Bedtime Stories and Big Red both star Walter Pidgeon?,no,"1. The question is asking if both Bedtime Stories and Big Red starred Walter Pidgeon.
2. The relevant parts of the context are the descriptions of Big Red and Bedtime Stories.
3. The answer is no, because Big Red starred Walter Pidgeon, but Bedtime Stories does not mention Walter Pidgeon as an actor.

FINAL_ANSWER: Bedtime Stories does not mention Walter Pidgeon as an actor.",16.5
81,Which political ideology was the premise of The National Action Party?,Nationalism,"1. The question is asking for the political ideology that was the premise of The National Action Party.
2. The relevant parts of the context are the descriptions of Nationalism and National Action Party, as well as the definition of Nationalism.
3. The answer is based on the context that National Action Party was a Chilean right-wing political party of nationalist ideology.

FINAL_ANSWER: Nationalism",13.9
82,"Who manages the station that serves a small town and civil parish in the Borough of Pendle Lancashire, England with a population of 8,200 as of 2011?",Northern,"1. The question is asking for the management company of the railway station serving a specific town in Lancashire, England.
2. The relevant parts of the context are the information about Brierfield railway station, including its location and the management company.
3. The answer is based on the context, which states that Brierfield railway station is managed by Northern.

FINAL_ANSWER: Northern",15.2
83,Cindy Williams is an award-winning news anchor for a tv station whose trasmitter is located on what mountain?,Winn Mountain,"1. The question is asking for the location of the transmitter of the TV station where Cindy Williams is a news anchor.
2. The relevant parts of the context are the description of WCSH 6, which mentions the transmitter being located on Winn Mountain in Sebago.
3. The answer is based on the context, which states that WCSH 6 broadcasts a high definition digital signal on UHF channel 44 from a transmitter on Winn Mountain in Sebago.

FINAL_ANSWER: Winn Mountain in Sebago.",16.5
84,Snow White is a Disney media franchise based on a German fairy tale by who?,Brothers Grimm,"1. The question is asking for the author of the German fairy tale that Snow White is based on.
2. The relevant parts of the context are the information about Snow White as a Disney media franchise and the German fairy tale it is based on.
3. The answer is based on the context that Snow White is based on a 19th-century German fairy tale published by the Brothers Grimm in 1812.

FINAL_ANSWER: The Brothers Grimm.",15.6
85," Harrah's Lake Tahoe is a hotel and casino owned and operated by the fourth-largest gaming company in the world, with annual revenues of what in 2013?",$8.6 billion,"1. The question is asking for the annual revenues of the fourth-largest gaming company in the world in 2013, which is Caesars Entertainment Corporation.
2. The relevant parts of the context are the statement about Caesars Entertainment Corporation being the fourth-largest gaming company in the world, and the specific annual revenue figure of $8.6 billion for 2013.
3. The answer is based on the context, which states that Caesars Entertainment Corporation has annual revenues of $8.6 billion in 2013.

FINAL_ANSWER: $8.6 billion",19.3
86,"""Alvin for President"" is a song by which American animated fictional musical group?",Alvin and the Chipmunks,"1. The question is asking for the American animated fictional musical group that the song ""Alvin for President"" belongs to.
2. The relevant parts of the context are the descriptions of Alvin and the Chipmunks and the song ""Alvin for President"".
3. The answer is based on the fact that Alvin and the Chipmunks is an American animated music group, and ""Alvin for President"" is a song by this group.

FINAL_ANSWER: Alvin and the Chipmunks",16.5
87,Neetho starred which actress born on 1 February 1979?,Mahek Chahal,"1. The question is asking which actress, born on 1 February 1979, starred in the 2002 Telugu romance film Neetho.
2. The relevant parts of the context are the information about Mahek Chahal, including her birthdate and profession.
3. Based on the context, Mahek Chahal is the actress born on 1 February 1979 who starred in Neetho.

FINAL_ANSWER: Mahek Chahal",15.6
88,"What were the Royal Navy Battleships, that were considered the first fast battleships and were used in WWI and WWII?","Queen Elizabeth""-class battleships","1. The question is asking for the name of the Royal Navy battleship class that was considered the first fast battleships and was used in both WWI and WWII.

2. The relevant parts of the context are the descriptions of the ""Queen Elizabeth""-class battleships and the ""Colorado""-class battleship.

3. The answer is not explicitly stated in the context, but based on the information provided, it can be inferred that the ""Queen Elizabeth""-class battleships were considered the first fast battleships and were used in both WWI and WWII.

FINAL_ANSWER: The ""Queen Elizabeth""-class battleships.",20.5
89,The Tama Maru No. 2 was damaged by what World War II American naval scout plane and dive bomber that was manufactured by Douglas Aircraft?,Douglas SBD Dauntless,"1. The question is asking for the specific type of World War II American naval scout plane and dive bomber that damaged the Tama Maru No. 2.
2. The relevant parts of the context are the description of the damage to the Tama Maru No. 2 and the information about the Douglas SBD Dauntless.
3. The answer is based on the context, which states that the Tama Maru No. 2 was damaged by Douglas SBD Dauntless dive bombers from the United States Navy aircraft carriers USS ""Lexington"" and USS ""Yorktown"".

FINAL_ANSWER: Douglas SBD Dauntless",21.5
90,Are Connie May Fowler and Vladimir Mayakovsky both poets?,yes,"1. The question is asking if both Connie May Fowler and Vladimir Mayakovsky are poets.
2. The relevant parts of the context are the biographies of Connie May Fowler and Vladimir Mayakovsky.
3. The answer is based on the fact that Vladimir Mayakovsky is described as a ""Russian Soviet poet"" and Connie May Fowler is described as a ""poet"".

FINAL_ANSWER: Yes, both Connie May Fowler and Vladimir Mayakovsky are poets.",16.1
91,How many people died in the fire Brooklyn Theatre that was owned by Sarah Crocker Conway?,278 individuals,"1. The question is asking about the number of people who died in a fire at the Brooklyn Theatre, which was owned by Sarah Crocker Conway.
2. The relevant parts of the context are the first two sentences, which mention Sarah leasing the Park Theatre and the new Brooklyn Theatre, and the fact that a conflagration occurred at the Brooklyn Theatre.
3. The answer is not explicitly stated in the context, but it can be inferred that the conflagration mentioned in the context refers to the fire at the Brooklyn Theatre, which killed at least 278 individuals.

FINAL_ANSWER: At least 278 individuals died in the fire at the Brooklyn Theatre.",20.3
92,Jack Moore played collegiately at the college in what NCAA conference?,Big Ten,"1. The question is asking for the NCAA conference in which Jack Moore played collegiately.
2. The relevant parts of the context are the information about Iowa State and the University of Oklahoma Sooners, as well as the fact that the Sooners play in the Big 12 Conference.
3. Since the context does not mention Jack Moore playing for the University of Oklahoma Sooners, but rather for Iowa State, and Iowa State is also in the Big 12 Conference, the answer is that Jack Moore played collegiately in the Big 12 Conference.

FINAL_ANSWER: The Big 12 Conference.",17.9
93,"What was the nationality of Lana Turner's co-star in ""The Three Musketeers""?",American,"1. The question is asking for the nationality of Lana Turner's co-star in the 1948 film adaptation of ""The Three Musketeers"".
2. The relevant parts of the context are the information about Gene Kelly and Lana Turner, specifically the 1948 film adaptation of ""The Three Musketeers"".
3. The answer is based on the context, which states that Gene Kelly starred alongside Lana Turner in the 1948 film adaptation of ""The Three Musketeers"", implying that both are American.

FINAL_ANSWER: Gene Kelly.",20.6
94, Der Bärenhäuter was influenced by the German composer who created which opera?,"""Hansel and Gretel""","1. The question is asking for the German composer who created the opera that ""Der Bärenhäuter"" was influenced by.
2. The relevant parts of the context are Engelbert Humperdinck and his opera ""Hansel and Gretel"".
3. The answer is Engelbert Humperdinck, as ""Der Bärenhäuter"" is likely a reference to his opera ""Hansel and Gretel"".

FINAL_ANSWER: Engelbert Humperdinck",16.8
95,The Crocoduck was imagined by what New Zealand-born American minister?,Ray Comfort,"1. The question is asking for the identity of the New Zealand-born American minister who imagined the crocoduck.
2. The relevant parts of the context are the descriptions of Ray Comfort and Kirk Cameron, as well as the mention of Ray Comfort's birthdate and profession.
3. The answer is based on the fact that Ray Comfort is described as a New Zealand-born American Christian minister and evangelist, and is also mentioned as proposing the idea of the crocoduck.

FINAL_ANSWER: Ray Comfort",16.9
96,The racer who finished second in the 1964 French Grand Prix was this nationality?,British,"1. The question is asking for the nationality of the racer who finished second in the 1964 French Grand Prix.
2. The relevant parts of the context are the description of the 1964 French Grand Prix and the information about Graham Hill, who finished second in the race.
3. The answer is based on the context, which states that Graham Hill, a British racing driver, finished second in the 1964 French Grand Prix.

FINAL_ANSWER: British",17.3
97,"Which astronaut is older, Philippe Perrin or André Kuipers?",André Kuipers,"1. The question is asking for a comparison of the ages of two astronauts, Philippe Perrin and André Kuipers.
2. The relevant parts of the context are the birthdates of both astronauts: Philippe Perrin (January 6, 1963) and André Kuipers (October 5, 1958).
3. Based on their birthdates, André Kuipers is older than Philippe Perrin.

FINAL_ANSWER: André Kuipers is older than Philippe Perrin.",16.5
98, Michael Edward Curry served as head coach for an American Professional basketball team that has won how many NBA championchips?,three,"Step 1: The question is asking about the number of NBA championships won by the team Michael Edward Curry served as head coach for.

Step 2: The relevant parts of the context are the information about Michael Edward Curry's coaching career and the Detroit Pistons' history.

Step 3: According to the context, Michael Edward Curry served as head coach of the Detroit Pistons, and the Pistons have won three NBA championships.

FINAL_ANSWER: The Detroit Pistons have won three NBA championships under Michael Edward Curry's coaching.",16.8
99,"""The Closer I Get to You"" is a romantic ballad performed by African American jazz, soul, R&B, and folk singer-songwriter Roberta Flack and which  American jazz, blues, soul and gospel singer, songwriter, arranger and pianist, that signed with Atlantic Records in 1969?",Donny Hathaway,"1. The question is asking for the American jazz, blues, soul and gospel singer, songwriter, arranger and pianist who performed ""The Closer I Get to You"" with Roberta Flack.
2. The relevant parts of the context are the information about Donny Hathaway and his collaboration with Roberta Flack on ""The Closer I Get to You"".
3. Based on the context, Donny Hathaway is the correct answer.

FINAL_ANSWER: Donny Hathaway",17.4
100,The Gooden Grant House is located in what bay in Maine? ,Penobscot Bay,"1. The question is asking for the location of the Gooden Grant House in relation to a bay in Maine.
2. The relevant parts of the context are the description of the Gooden Grant House and the location of the Bay of Fundy.
3. The Gooden Grant House is located on an island in Penobscot Bay, which is a bay on the Atlantic coast of North America.

FINAL_ANSWER: The Gooden Grant House is located in Penobscot Bay.",16.7
101,What non-fiction books has the author who has written books about the loyalist paramilitary Michael Stone and Special Air Service founder who During the course of the Second World War he became one of the British Army's most highly decorated soldiers?,the Troubles,"1. The question is asking for the author's non-fiction books about the loyalist paramilitary Michael Stone and the Special Air Service founder.
2. The relevant parts of the context are the sentences mentioning the author's non-fiction books about ""the Troubles"", Michael Stone, and Paddy Mayne.
3. The answer is not explicitly stated in the context, but it can be inferred that the author has written books about ""the Troubles"" and has also written about Michael Stone and Paddy Mayne, suggesting that the non-fiction books about ""the Troubles"" likely include information about these topics.

FINAL_ANSWER: The author has written non-fiction books about ""the Troubles"", including books about Michael Stone and Paddy Mayne.",23.0
102,What country of origin does Squirrel Nut Zippers and Sponge have in common?,American,"The question is asking for the country of origin that Squirrel Nut Zippers and Sponge have in common.

The relevant parts of the context are the descriptions of Squirrel Nut Zippers and Sponge.

The answer is based on the fact that both Squirrel Nut Zippers and Sponge are American bands.

FINAL_ANSWER: The United States.",12.9
103,Hollywood Casino is owned by the company based in what Pennsylvania town?,Wyomissing,"1. The question is asking for the location of the company that owns Hollywood Casino.
2. The relevant parts of the context are the first sentence, which states that Hollywood Casino is a brand owned by Penn National Gaming, and the second sentence, which provides information about Penn National Gaming's location.
3. Based on the context, the answer is that Hollywood Casino is owned by the company based in Wyomissing, Pennsylvania.

FINAL_ANSWER: Wyomissing, Pennsylvania",16.0
104,"In which year was this American actor, director, writer, producer, dancer and musician born who directed the film ""One, Two, Many?""",1965,"1. The question is asking for the birth year of the American actor, director, writer, producer, dancer, and musician who directed the film ""One, Two, Many"".
2. The relevant parts of the context are the information about Michael DeLorenzo, specifically his birthdate and profession.
3. The answer is based on the context, which states that Michael DeLorenzo was born on October 31, 1965.

FINAL_ANSWER: 1965",17.1
105,The Clausius–Clapeyron relation was named after a German physicist and mathematician who is considered one of the central founders of what area of science?,the science of thermodynamics,"Step 1: The question is asking for the area of science that the Clausius–Clapeyron relation is named after, specifically the German physicist and mathematician who is considered one of its central founders.

Step 2: The relevant parts of the context are Rudolf Julius Emanuel Clausius, his role as a German physicist and mathematician, and his association with the science of thermodynamics.

Step 3: Based on the context, the answer is that the Clausius–Clapeyron relation is named after Rudolf Julius Emanuel Clausius, who is considered one of the central founders of the science of thermodynamics.

FINAL_ANSWER: Rudolf Julius Emanuel Clausius is considered one of the central founders of the science of thermodynamics.",23.4
106,"When was Elvis Presley's ""G.I. Blues"" which was released for the motion picture ""G.I. Blues""'s soundtrack?",October 1960,"1. The question is asking for the release date of Elvis Presley's ""G.I. Blues"" soundtrack, which is associated with the motion picture ""G.I. Blues"".
2. The relevant parts of the context are the information about Elvis Presley's discography, specifically the release of his album ""Elvis Country"" in January 1971, and the release of the album ""The Fabulous Johnny Cash"" in November 1958.
3. However, there is no mention of ""G.I. Blues"" in the context. The context only mentions Elvis Presley's album ""Elvis Country"" and the release of ""The Fabulous Johnny Cash"" album, which does not include ""G.I. Blues"".

FINAL_ANSWER: The context does not provide information on the release date of ""G.I. Blues"".",26.4
107,AeroLogic is a joint venture between Lufthansa and the division of what logistics company?,Deutsche Post DHL,"The question is asking for the logistics company that AeroLogic is a joint venture with.

The relevant parts of the context are the information about Lufthansa Cargo and DHL Express.

The answer is based on the fact that AeroLogic is a joint-venture between Lufthansa Cargo and DHL Express.

FINAL_ANSWER: DHL Express",14.3
108,"What French formula racing driver that was 2014 Formula Renault 3.5 Series runner-up drove the Toro Rosso STR12 in 2017, a Formula One racing car designed and constructed by Scuderia Toro Rosso?",Pierre Gasly,"1. The question is asking for the French formula racing driver who was the 2014 Formula Renault 3.5 Series runner-up and drove the Toro Rosso STR12 in 2017.

2. The relevant parts of the context are the information about Pierre Gasly, the 2014 Formula Renault 3.5 Series runner-up, and his role as a driver for the Toro Rosso STR12 in 2017.

3. Based on the context, Pierre Gasly is the French formula racing driver who was the 2014 Formula Renault 3.5 Series runner-up and drove the Toro Rosso STR12 in 2017.

FINAL_ANSWER: Pierre Gasly",24.2
109,"Amber Calling are an Australian pop punk and emo band from Adelaide, which formed in 2005 as 919, during their career they have supported shows by Panic! at the Disco, an American rock band from Las Vegas, Nevada, formed in what year?",2004,"1. The question is asking for the year Panic! at the Disco was formed.
2. The relevant parts of the context are the information about Panic! at the Disco and the context about the band Amber Calling (formerly 919).
3. The answer is based on the context, which states that Panic! at the Disco is an American rock band from Las Vegas, Nevada, formed in an unspecified year.

FINAL_ANSWER: Panic! at the Disco was formed in 2004.",16.9
110,"The music program ""Yesterday"" was named after a song from what Beatles album?",Help!,"1. The question is asking which Beatles album the music program ""Yesterday"" was named after.
2. The relevant parts of the context are the information about the song ""Yesterday"" by the Beatles, specifically that it was written by Paul McCartney and first released on the album ""Help!"".
3. The answer is based on the context that the program ""Yesterday"" is named after the song by the Beatles, which was first released on the album ""Help!"".

FINAL_ANSWER: The Beatles album ""Help!""",17.9
111,The Trenton Prong is a section of the Piedmont province of what that was formed roughly 480 million years ago?,The Appalachian Mountains,"1. The question is asking for the geological formation that the Trenton Prong is a part of, specifically the time period when it was formed.
2. The relevant parts of the context are the description of the Appalachian Mountains and the Piedmont province.
3. The answer is based on the context that the Appalachian Mountains first formed roughly 480 million years ago during the Ordovician Period.

FINAL_ANSWER: The Appalachian Mountains.",15.1
112,"Debuting in the 2004 American teen musical comedy film Confessions of a Teenage Drama Queen, Megan Fox went on to co-star in what 2007 blockbuster action film?",Transformers,"1. The question is asking for the title of the 2007 blockbuster action film that Megan Fox co-starred in, following her breakout role in Confessions of a Teenage Drama Queen.

2. The relevant parts of the context are the information about Megan Fox's breakout role in Confessions of a Teenage Drama Queen and her co-starring role in the 2007 blockbuster action film.

3. Based on the context, the answer is the title of the 2007 blockbuster action film, which is ""Transformers"".

FINAL_ANSWER: Transformers",18.4
113,Who writes poetry such as Glaring Through Oblivion as well as leading the heavy metal band System Of A Down?,Serj Tankian,"1. The question is asking for the person who writes poetry like ""Glaring Through Oblivion"" and also leads the heavy metal band System of a Down.
2. The relevant parts of the context are the information about Serj Tankian, the Armenian-American lead singer of System of a Down, and his book of poetry ""Glaring Through Oblivion"".
3. The answer is Serj Tankian, as he is the person who writes poetry like ""Glaring Through Oblivion"" and is also the lead singer of System of a Down.

FINAL_ANSWER: Serj Tankian",20.0
114,Heartsounds was made into a 1984 film starring an actor who died in what year?,2014,"1. The question is asking for the year in which the actor who played the role in the 1984 film adaptation of ""Heartsounds"" (implied by ""Heartsounds was made into a 1984 film"") died.
2. The relevant parts of the context are the information about Tommy Cooper, who provided the voice of a character in a Lego advertisement, and the fact that he collapsed and died from a heart attack on live television in 1984.
3. Based on the context, the answer is that Tommy Cooper died in 1984.

FINAL_ANSWER: Tommy Cooper died in 1984.",19.2
115,Dean McCarthy played a boy becoming what in an adaptation of Billy Elliott? ,professional ballet dancer,"1. The question is asking about the role Dean McCarthy played in the adaptation of Billy Elliott.
2. The relevant parts of the context are the information about Dean McCarthy and Billy Elliot the Musical.
3. The answer is based on the fact that Dean McCarthy played the role of Billy in ""Billy Elliot the Musical"", which is an adaptation of the film Billy Elliot.

FINAL_ANSWER: Dean McCarthy played the role of Billy in ""Billy Elliot the Musical"".",15.8
116,The 3852 Democratic National Convention nominated Franklin Pierce over what American military officer who represented Michigan in the United States Senate?,Lewis Cass,"1. The question is asking for the American military officer who represented Michigan in the United States Senate and was passed over by the 1852 Democratic National Convention in favor of Franklin Pierce.
2. The relevant parts of the context are the information about Lewis Cass, the 1852 Democratic National Convention, and Franklin Pierce's nomination.
3. The answer is Lewis Cass, as he represented Michigan in the United States Senate and was nominated by the 1852 Democratic National Convention, but was passed over in favor of Franklin Pierce.

FINAL_ANSWER: Lewis Cass",19.4
117,What medium-sized bear native to North America can be seen in Harriman State Park?,American black bear,"1. The question is asking for the medium-sized bear native to North America that can be seen in Harriman State Park, but the context does not mention Harriman State Park at all.

2. The relevant parts of the context are the descriptions of the wildlife refuge and the American black bear.

3. Based on the context, the answer is that the American black bear is a medium-sized bear native to North America.

FINAL_ANSWER: The American black bear is a medium-sized bear native to North America.",17.3
118,What company produced both The Barefoot Executive and The Last Flight of Noah's Ark?,Walt Disney,"1. The question is asking for the company that produced both films.
2. The relevant parts of the context are the descriptions of The Barefoot Executive and The Last Flight of Noah's Ark, which both mention Walt Disney Productions.
3. Based on the context, Walt Disney Productions is the company that produced both films.

FINAL_ANSWER: Walt Disney Productions",13.8
119,What politician from New York served two terms representing New York in the United States Senate? ,Hillary Rodham Clinton,"1. The question is asking for the name of the politician from New York who served two terms in the United States Senate.
2. The relevant parts of the context are the descriptions of Hillary Rodham Clinton's Senate terms in 2000 and 2006, as well as her 1962 election.
3. The answer is based on the context, which states that Hillary Rodham Clinton won two terms representing New York in the United States Senate, with the specific terms mentioned being in 2000 and 2006.

FINAL_ANSWER: Hillary Rodham Clinton",19.2
120,Trim is a transitway station in the east end of a city that as of 2016 had a population of what?,"934,243","1. The question is asking for the population of the city where Trim is located, as of 2016.
2. The relevant parts of the context are the information about Ottawa's population as of 2016.
3. The answer is based on the context, which states that as of 2016, Ottawa had a city population of 934,243.

FINAL_ANSWER: 934,243",14.0
121,The manager in which Mark Lazarus clashed with served as manager for the Wolverhampton Wanderers during which years?,1948 and 1964,"1. The question is asking for the years during which the manager who clashed with Mark Lazarus (not mentioned in the context) served as manager of Wolverhampton Wanderers.

2. The relevant parts of the context are the information about Stan Cullis, who was the manager of Wolverhampton Wanderers during the time period mentioned.

3. The answer is based on the context, which states that Stan Cullis was the manager of Wolverhampton Wanderers from 1948 to 1964.

FINAL_ANSWER: Stan Cullis served as manager of Wolverhampton Wanderers from 1948 to 1964.",20.8
122,In which city did this world games take place when Squash was added as part of the world games?,"Lahti, Finland","1. The question is asking for the city where the World Games took place when Squash was added as part of the World Games.
2. The relevant parts of the context are the information about the 1997 World Games and the addition of Squash as a sport.
3. The answer is based on the fact that Squash was added as part of the World Games in 1997, and the 1997 World Games were held in Lahti, Finland.

FINAL_ANSWER: Lahti, Finland",18.0
123,Are Latina and Entrepreneur both monthly publications?,no,"1. The question is asking whether Latina and Entrepreneur are both monthly publications.
2. The relevant parts of the context are the descriptions of Latina magazine and the awards received by Christy Haubegger, but there is no information about the frequency of publication for Entrepreneur.
3. The context does not provide information about the frequency of publication for Entrepreneur, so we cannot determine if it is a monthly publication.

FINAL_ANSWER: The context does not provide enough information to answer the question.",16.4
124,Are Lucie Šafářová and Pavel Složil both Czech tennis players?,yes,"1. The question is asking if Lucie Šafářová and Pavel Složil are both Czech tennis players.
2. The relevant parts of the context are the descriptions of Lucie Šafářová and Pavel Složil.
3. The answer is based on the fact that Lucie Šafářová is described as a ""Czech professional tennis player"" and Pavel Složil is described as a ""former professional tennis player from Czechoslovakia"", which implies that he is not Czech.

FINAL_ANSWER: No, Pavel Složil is not a Czech tennis player.",18.3
