id,question,gold_answer,model_answer,elapsed_sec
60,"Which director has won an Oscar, Ron Shelton or Ken Mora?","Ronald Wayne ""Ron"" Shelton","The question is asking which director has won an Oscar, specifically between Ron Shelton and Ken Mora.

The relevant parts of the context are the biographies of Ron Shelton and Ken Mora, as well as the information about Quentin Tarantino and Frank Capra.

The answer is based on the context, which states that Ken Mora worked on ""Reservoir Dogs"" and ""Pulp Fiction"", for which he and Quentin Tarantino were awarded the Oscar for Best Original Screenplay. There is no mention of Ron Shelton winning an Oscar. 

FINAL_ANSWER: Ken Mora",29.2
61,Were One Hundred and One Dalmatians and Fun and Fancy Free both animated films?,yes,"The question is asking whether both One Hundred and One Dalmatians and Fun and Fancy Free are animated films.

The relevant parts of the context are the descriptions of One Hundred and One Dalmatians and Fun and Fancy Free.

One Hundred and One Dalmatians is described as an ""animated adventure film"", which implies that it is an animated film. Fun and Fancy Free, on the other hand, is described as a ""live-action animated musical fantasy comedy package film"", which means it is a combination of live-action and animation.

Based on this, the answer is that not both One Hundred and One Dalmatians and Fun and Fancy Free are animated films.

FINAL_ANSWER: One Hundred and One Dalmatians is an animated film, but Fun and Fancy Free is not.",34.7
62,"A large distribution center is for a company with over 13,000 stores and what other company?",PetSmart,"The question is asking for a company that has a large distribution center in addition to a company with over 13,000 stores.

The relevant parts of the context are the information about the distribution center for Dollar General and PetSmart, and the number of stores operated by Dollar General.

The answer is based on the fact that Dollar General operates over 13,000 stores, and a large distribution center is mentioned as being for Dollar General and PetSmart.

FINAL_ANSWER: PetSmart.",20.6
63,In what year did the water park that Surfrider is part of rank first in Australia?,2009,"The question is asking for the year when the water park that Surfrider is part of, Wet'n'Wild Gold Coast, ranked first in Australia.

The relevant parts of the context are the information about Wet'n'Wild Gold Coast receiving 1,095,000 visitors in 2009 and ranking first in Australia.

The answer is based on the context, which states that Wet'n'Wild Gold Coast received 1,095,000 visitors in 2009 and ranked first in Australia.

FINAL_ANSWER: 2009",21.5
64,"Ricardo Viñes, a Spanish pianist, premiered the works of Maurice Ravel, who is associated with what style?",impressionism,"The question is asking about the style associated with Maurice Ravel.

The relevant parts of the context are the statements about Ricardo Viñes, a Spanish pianist, and Maurice Ravel, as well as the association between Ravel and impressionism.

The answer is based on the context, which states that Ricardo Viñes, a Spanish pianist, premiered the works of Maurice Ravel, and that Ravel is often associated with impressionism, although both composers rejected the term. Therefore, the answer is that Maurice Ravel is associated with impressionism.

FINAL_ANSWER: Maurice Ravel is associated with impressionism.",31.2
65,Which 'My Name Is Earl' star is also know for his role in a advertising campaign for OfficeMax?,Eddie Steeples,"The question is asking for the actor from ""My Name Is Earl"" who also appeared in an advertising campaign for OfficeMax.

The relevant parts of the context are the information about Eddie Steeples' roles, including his appearance in an advertising campaign for OfficeMax as the ""Rubberband Man"".

The answer is based on the context, which states that Eddie Steeples is known for his role as the ""Rubberband Man"" in an advertising campaign for OfficeMax.

FINAL_ANSWER: Eddie Steeples.",26.4
66,What actor starred on the Defenders in the 1960s as well as in At Mother's Request,E. G. Marshall,"The question is asking for the actor who starred in ""The Defenders"" in the 1960s and also appeared in ""At Mother's Request"".

The relevant parts of the context are the information about E. G. Marshall's role as Lawrence Preston on ""The Defenders"" in the 1960s and the fact that the film ""At Mother's Request"" stars E. G. Marshall and Stefanie Powers.

The answer is based on the context, which does not mention Stefanie Powers being in ""At Mother's Request"", but rather the film stars Jason Robards, Jonathan Pryce, Diane Ladd, and Pam Grier. However, the context does mention E. G. Marshall's role in ""The Defenders"" in the 1960s, but it does not provide information about him being in ""At Mother's Request"". Therefore, the correct answer cannot be determined based on the provided context.

FINAL_ANSWER: Unable to determine the answer based on the provided context.",41.0
67,Are Macworld and College Humor both magazines?,no,"1. The question is asking whether Macworld and College Humor are both magazines.
2. The relevant parts of the context are the descriptions of Macworld and College Humor.
3. Based on the context, Macworld is described as a website, while College Humor is described as a magazine. Therefore, Macworld and College Humor are not both magazines.

FINAL_ANSWER: Macworld and College Humor are not both magazines.",20.0
68,"Francesco Rospigliosi Pallavicini was born in Rome, in what was then which territories in the Italian Peninsula under the sovereign direct rule of the pope, from the 8th century until 1870?",Papal States,"The question is asking for the territories in the Italian Peninsula under the sovereign direct rule of the pope from the 8th century until 1870 where Francesco Rospigliosi Pallavicini was born.

The relevant parts of the context are the description of the Papal States, which were territories in the Italian Peninsula under the sovereign direct rule of the pope, from the 8th century until 1870.

The answer is based on the context, which states that Francesco Rospigliosi Pallavicini was born in Rome, in what was then the Papal States.

FINAL_ANSWER: Francesco Rospigliosi Pallavicini was born in Rome, in what was then the Papal States.",30.9
69,What country are both Kopparvallen and Conny Torstensson from?,Sweden,"The question is asking for the country of origin of both Kopparvallen and Conny Torstensson.

The relevant parts of the context are Kopparvallen, which is described as a stadium in Åtvidaberg, Sweden, and Conny Torstensson, who is a former footballer from Sweden.

The answer is based on the fact that both Kopparvallen and Conny Torstensson are described as being from Sweden.

FINAL_ANSWER: Sweden",23.0
70,"Which film director directed the internet video serial ""God, Inc."", Roman Karmen or Francis Stokes?",Francis Stokes,"The question is asking who directed the internet video serial ""God, Inc."".

The relevant parts of the context are the biographies of Francis Stokes and Francis Ford Coppola, as well as the mention of Francis Stokes as the writer and director of the feature film ""Harold Buttleman, Daredevil Stuntman"".

The answer is based on the context, which states that Francis Stokes is the writer and director of the internet video serial ""God, Inc."". 

FINAL_ANSWER: Francis Stokes directed the internet video serial ""God, Inc."".",28.7
71,Lisa Brennan-Jobs is the daughter of which painter and writer?,Chrisann Brennan,"The question is asking for the parent of Lisa Brennan-Jobs, specifically the parent who is a painter and writer.

The relevant parts of the context are Chrisann Brennan, who is described as a painter and writer, and her relationship with Steve Jobs, Apple co-founder.

Based on the context, Lisa Brennan-Jobs is the daughter of Chrisann Brennan, the painter and writer.

FINAL_ANSWER: Chrisann Brennan is the painter and writer who is Lisa Brennan-Jobs' mother.",25.9
72,"Goose Rocks Light is a sparkplug lighthouse located near North Haven, Maine in which location, an inlet of the Gulf of Maine and Atlantic Ocean in south central Maine?",Penobscot Bay,"The question is asking for the location of Goose Rocks Light in relation to Penobscot Bay.

The relevant parts of the context are the descriptions of Goose Rocks Light and Penobscot Bay.

The answer is that Goose Rocks Light is a sparkplug lighthouse located near North Haven, Maine in Penobscot Bay.

FINAL_ANSWER: Goose Rocks Light is a sparkplug lighthouse located near North Haven, Maine in Penobscot Bay.",23.4
73,What communications officer was on the staff of a fleet admiral in the United States Navy?,"John ""Jack"" Roland Redman","The question is asking for the identity of a communications officer who was part of the staff of a fleet admiral in the United States Navy.

The relevant parts of the context are the biographies of John ""Jack"" Roland Redman and Chester William Nimitz, as well as the mention of Redman's role in signals intelligence during World War II.

Based on the context, John ""Jack"" Roland Redman was a communications officer who played key roles in signals intelligence during World War II in Washington, D.C., and on the staff of Admiral Chester W. Nimitz.

FINAL_ANSWER: John ""Jack"" Roland Redman was a communications officer who was on the staff of Admiral Chester W. Nimitz.",39.6
74,"Titan and Balderdash, are which specific type of entertainment?",board game,"The question is asking what type of entertainment Titan and Balderdash are.

The relevant parts of the context are the descriptions of Titan as a steel hyper coaster and Balderdash as a board game of bluffing and trivia.

Based on this context, Titan and Balderdash are both types of rides and board games, respectively.

FINAL_ANSWER: Titan and Balderdash are rides and board games, respectively.",19.2
75,In what state did Olivia Newton-John perform Summer Nights? ,Nevada,"The question is asking in what state Olivia Newton-John performed Summer Nights.

The relevant parts of the context are the information about Olivia Newton-John's residency show ""Summer Nights"" and the location of the Flamingo Las Vegas, where the show takes place.

The answer is based on the fact that the Flamingo Las Vegas is located in Nevada, and since the show takes place there, it can be inferred that Olivia Newton-John performed Summer Nights in Nevada.

FINAL_ANSWER: Olivia Newton-John performed Summer Nights in Nevada.",25.0
76,Who was an American lawyer with a family of Scots-Irish ancestry of the Methodist faith from the patrilineal lineage?,George Franklin Getty,"1. The question is asking for an American lawyer with a family of Scots-Irish ancestry of the Methodist faith from a patrilineal lineage.

2. The relevant parts of the context are the information about Osceola, the Ulster Scots, and Stephen James Meridith Brown.

3. However, none of the provided context directly mentions an American lawyer with a family of Scots-Irish ancestry of the Methodist faith. The context only provides information about Osceola, who was a Seminole leader, and Stephen James Meridith Brown, who was an Irish Catholic priest, but neither of them matches the description in the question.

FINAL_ANSWER: There is no information in the provided context that matches the description of an American lawyer with a family of Scots-Irish ancestry of the Methodist faith.",35.2
77,"What collegiate athletic conference headquartered in Birmingham, Alabama includes schools such as Texas Southern University?",Southwestern Athletic Conference,"The question is asking for the name of the collegiate athletic conference that includes Texas Southern University.

The relevant parts of the context are the descriptions of the Southwestern Athletic Conference (SWAC) and Texas Southern University.

The answer is based on the context, which states that the Southwestern Athletic Conference (SWAC) is a collegiate athletic conference headquartered in Birmingham, Alabama, and that Texas Southern University is a member of the West Division of the SWAC.

FINAL_ANSWER: The Southwestern Athletic Conference (SWAC).",23.5
78,Foxcatcher is a 2014 American true crime sports drama film about a wrestling team set up in what state?,Pennsylvania,"The question is asking for the location where the Foxcatcher wrestling team was set up.

The relevant parts of the context are the plot of the film ""Foxcatcher"" and the description of John du Pont's estate in Pennsylvania.

The answer is based on the fact that John du Pont set up the Foxcatcher wrestling team at his estate in Pennsylvania.

FINAL_ANSWER: Pennsylvania.",21.3
79,What is the nationality of the 2003 FIBA Under-19 World Championship MVP ?,Australian,"The question is asking for the nationality of the 2003 FIBA Under-19 World Championship MVP.

The relevant parts of the context are the information about the 2003 FIBA Under-19 World Championship MVP, which is not provided, but we can infer that the context is not relevant to the question. However, we can see that the context provides information about the NBA All-Star Game MVP, which is not related to the FIBA Under-19 World Championship.

Since the context does not provide any information about the 2003 FIBA Under-19 World Championship MVP, we cannot determine the nationality of the MVP based on the provided context.

FINAL_ANSWER: The nationality of the 2003 FIBA Under-19 World Championship MVP cannot be determined based on the provided context.",34.1
80,Did Bedtime Stories and Big Red both star Walter Pidgeon?,no,"The question is asking if both Bedtime Stories and Big Red starred Walter Pidgeon.

The relevant parts of the context are the descriptions of Bedtime Stories and Big Red.

The answer is no, Bedtime Stories starred Richard Griffiths, not Walter Pidgeon.

FINAL_ANSWER: Bedtime Stories and Big Red did not both star Walter Pidgeon.",21.2
81,Which political ideology was the premise of The National Action Party?,Nationalism,"1. The question is asking for the political ideology that was the premise of The National Action Party.
2. The relevant parts of the context are the descriptions of Nationalism and Fascism, as well as the characteristics of the National Action Party.
3. Based on the context, the National Action Party's nationalist ideology aligns with the characteristics of Nationalism, which promotes the interests of a particular nation and aims for self-governance.

FINAL_ANSWER: Nationalism was the premise of The National Action Party.",24.1
82,"Who manages the station that serves a small town and civil parish in the Borough of Pendle Lancashire, England with a population of 8,200 as of 2011?",Northern,"The question is asking for the management company of the railway station serving a specific town in Lancashire, England.

The relevant parts of the context are the descriptions of Brierfield railway station and the town of Brierfield itself.

The answer is based on the context, which states that Brierfield railway station is managed by Northern, who also provide all passenger trains serving it.

FINAL_ANSWER: Northern manages the station that serves the small town of Brierfield, Lancashire, England.",28.4
83,Cindy Williams is an award-winning news anchor for a tv station whose trasmitter is located on what mountain?,Winn Mountain,"The question is asking for the location of the transmitter of the TV station where Cindy Williams is a news anchor.

The relevant parts of the context are the description of WCSH 6, which mentions that it broadcasts a high definition digital signal on UHF channel 44 (or virtual channel 6 via PSIP) from a transmitter on Winn Mountain in Sebago.

The answer is based on the context, which states that WCSH 6 broadcasts from a transmitter on Winn Mountain in Sebago.

FINAL_ANSWER: The transmitter is located on Winn Mountain in Sebago.",23.7
84,Snow White is a Disney media franchise based on a German fairy tale by who?,Brothers Grimm,"The question is asking for the author of the German fairy tale that Snow White is based on.

The relevant parts of the context are the first and third paragraphs, which mention the Brothers Grimm and the publication of the fairy tale in 1812.

The answer is based on the context, which states that Snow White is based on a 19th-century German fairy tale published by the Brothers Grimm in 1812.

FINAL_ANSWER: The Brothers Grimm.",26.5
85," Harrah's Lake Tahoe is a hotel and casino owned and operated by the fourth-largest gaming company in the world, with annual revenues of what in 2013?",$8.6 billion,"The question is asking for the annual revenues of the fourth-largest gaming company in the world, which owns and operates Harrah's Lake Tahoe.

The relevant parts of the context are the statement about Caesars Entertainment Corporation being the fourth-largest gaming company in the world, and its annual revenues in 2013.

The answer is based on the context, which states that Caesars Entertainment Corporation has annual revenues of $8.6 billion in 2013.

FINAL_ANSWER: $8.6 billion",26.9
86,"""Alvin for President"" is a song by which American animated fictional musical group?",Alvin and the Chipmunks,"The question is asking for the American animated fictional musical group that the song ""Alvin for President"" belongs to.

The relevant parts of the context are the descriptions of Alvin and the Chipmunks and the song ""Alvin for President"".

The answer is based on the context, which states that Alvin and the Chipmunks is an American animated music group created by Ross Bagdasarian, Sr., for a novelty record in 1958. Therefore, the song ""Alvin for President"" is a song by this group.

FINAL_ANSWER: Alvin and the Chipmunks.",22.7
87,Neetho starred which actress born on 1 February 1979?,Mahek Chahal,"1. The question is asking which actress, born on 1 February 1979, starred in the 2002 Telugu romance film Neetho.
2. The relevant parts of the context are the biographical information about Mahek Chahal, including her birthdate.
3. Based on the context, Mahek Chahal is the actress born on 1 February 1979 who starred in Neetho.

FINAL_ANSWER: Mahek Chahal.",20.0
88,"What were the Royal Navy Battleships, that were considered the first fast battleships and were used in WWI and WWII?","Queen Elizabeth""-class battleships","The question is asking for the name of the Royal Navy battleship class that was considered the first fast battleships and was used in both WWI and WWII.

The relevant parts of the context are the descriptions of the ""Queen Elizabeth""-class battleships and the ""Colorado""-class battleship, USS ""Maryland"" (BB-46).

The answer is based on the context, but it seems there is a mistake in the question. The ""Queen Elizabeth""-class battleships were commissioned in 1915-16 and were used in WWI, while the ""Colorado""-class battleship, USS ""Maryland"" (BB-46), was commissioned in 1921 and was used in WWII. There is no mention of a ""fast battleship"" class used in both WWI and WWII.

FINAL_ANSWER: There is no clear answer to the question based on the provided context.",34.6
89,The Tama Maru No. 2 was damaged by what World War II American naval scout plane and dive bomber that was manufactured by Douglas Aircraft?,Douglas SBD Dauntless,"The question is asking for the specific type of World War II American naval scout plane and dive bomber that damaged the Tama Maru No. 2.

The relevant parts of the context are the description of the damage to the Tama Maru No. 2 and the details about the Douglas SBD Dauntless.

The answer is based on the context, which states that the Tama Maru No. 2 was damaged by Douglas SBD Dauntless dive bombers from the United States Navy aircraft carriers USS ""Lexington"" and USS ""Yorktown"" off Lae, New Guinea.

FINAL_ANSWER: The Douglas SBD Dauntless.",27.9
90,Are Connie May Fowler and Vladimir Mayakovsky both poets?,yes,"The question is asking if both Connie May Fowler and Vladimir Mayakovsky are poets.

The relevant parts of the context are the biographies of Connie May Fowler and Vladimir Mayakovsky.

The answer is based on the fact that Vladimir Mayakovsky is described as a ""Russian Soviet poet"" and Connie May Fowler is described as a ""poet"", indicating that both individuals have a background in poetry.

FINAL_ANSWER: Yes, both Connie May Fowler and Vladimir Mayakovsky are poets.",22.1
91,How many people died in the fire Brooklyn Theatre that was owned by Sarah Crocker Conway?,278 individuals,"The question is asking about the number of people who died in a fire at the Brooklyn Theatre, which was owned by Sarah Crocker Conway.

The relevant parts of the context are the first two sentences, which mention Sarah leasing the Park Theatre in Brooklyn and the new Brooklyn Theatre, but do not mention a fire or any deaths at the theatre.

The answer is not explicitly stated in the context, but it can be inferred that the question is actually asking about the fire that occurred at the Park Theatre, not the Brooklyn Theatre. The context mentions that Sarah leased the Park Theatre in 1864, and that a conflagration killed at least 278 individuals, with some accounts reporting more than 300 dead.

FINAL_ANSWER: At least 278 people died in the fire at the Park Theatre.",31.8
92,Jack Moore played collegiately at the college in what NCAA conference?,Big Ten,"The question is asking for the NCAA conference that Jack Moore played collegiately at.

The relevant parts of the context are the information about Jack Moore's college football career and the conferences associated with the teams he played for.

Based on the context, Jack Moore played collegiately with the University of Oklahoma Sooners, which plays in the Big 12 Conference.

FINAL_ANSWER: The Big 12 Conference.",16.6
93,"What was the nationality of Lana Turner's co-star in ""The Three Musketeers""?",American,"The question is asking for the nationality of Lana Turner's co-star in ""The Three Musketeers"".

The relevant parts of the context are the information about Gene Kelly, Lana Turner, and the film ""The Three Musketeers"" (1948).

The answer is based on the fact that Gene Kelly starred alongside Lana Turner in the 1948 film adaptation of ""The Three Musketeers"". Since Gene Kelly is American, it can be inferred that Lana Turner's co-star in the 1948 film is also American.

FINAL_ANSWER: Gene Kelly's nationality is the answer being sought.",29.7
94, Der Bärenhäuter was influenced by the German composer who created which opera?,"""Hansel and Gretel""","The question is asking about the influence of the opera ""Der Bärenhäuter"" on a specific German composer.

The relevant parts of the context are Engelbert Humperdinck, who is mentioned as a German composer, and his opera ""Hansel and Gretel"", which is the only opera mentioned in the context.

Based on the context, Engelbert Humperdinck is the German composer who created the opera ""Hansel and Gretel"", which suggests that ""Der Bärenhäuter"" was influenced by Humperdinck.

FINAL_ANSWER: Engelbert Humperdinck was the German composer who created the opera that influenced ""Der Bärenhäuter"".",28.1
95,The Crocoduck was imagined by what New Zealand-born American minister?,Ray Comfort,"The question is asking for the identity of the New Zealand-born American minister who imagined the crocoduck.

The relevant parts of the context are the descriptions of Ray Comfort and Kirk Cameron, as well as the mention of Ray Comfort's birthdate and occupation.

The answer is based on the context, which states that Ray Comfort is a New Zealand-born American Christian minister and evangelist who proposed the idea of the crocoduck.

FINAL_ANSWER: Ray Comfort",20.5
96,The racer who finished second in the 1964 French Grand Prix was this nationality?,British,"The question is asking for the nationality of the racer who finished second in the 1964 French Grand Prix.

The relevant parts of the context are the description of the 1964 French Grand Prix and the information about Graham Hill, who finished second in the race.

The answer is based on the fact that Graham Hill, who finished second, was a British racing driver.

FINAL_ANSWER: British",25.7
97,"Which astronaut is older, Philippe Perrin or André Kuipers?",André Kuipers,"The question is asking which astronaut is older between Philippe Perrin and André Kuipers.

The relevant parts of the context are the birthdates of both astronauts: Philippe Perrin was born on January 6, 1963, and André Kuipers was born on October 5, 1958.

Based on these birthdates, André Kuipers is older than Philippe Perrin.

FINAL_ANSWER: André Kuipers is older than Philippe Perrin.",20.1
98, Michael Edward Curry served as head coach for an American Professional basketball team that has won how many NBA championchips?,three,"The question is asking about the number of NBA championships won by the team Michael Edward Curry served as head coach for.

The relevant parts of the context are the information about the Detroit Pistons, specifically that they have won three NBA championships in 1989, 1990, and 2004.

The answer is based on the context, which states that Michael Edward Curry served as head coach of the Detroit Pistons, and that they have won three NBA championships.

FINAL_ANSWER: The Detroit Pistons have won three NBA championships under Michael Edward Curry's head coaching tenure.",27.5
99,"""The Closer I Get to You"" is a romantic ballad performed by African American jazz, soul, R&B, and folk singer-songwriter Roberta Flack and which  American jazz, blues, soul and gospel singer, songwriter, arranger and pianist, that signed with Atlantic Records in 1969?",Donny Hathaway,"The question is asking for the American jazz, blues, soul and gospel singer, songwriter, arranger and pianist who performed ""The Closer I Get to You"" with Roberta Flack and signed with Atlantic Records in 1969.

The relevant parts of the context are the information about Donny Hathaway, his music, and his signing with Atlantic Records in 1969.

The answer is based on the context, which states that Donny Hathaway signed with Atlantic Records in 1969, making him the correct answer.

FINAL_ANSWER: Donny Hathaway",30.5
100,The Gooden Grant House is located in what bay in Maine? ,Penobscot Bay,"1. The question is asking for the location of the Gooden Grant House in relation to a bay in Maine.
2. The relevant parts of the context are the description of the Gooden Grant House and the location of the Bay of Fundy.
3. The Gooden Grant House is located on an island in Penobscot Bay, which is a bay on the Atlantic coast of North America.

FINAL_ANSWER: The Gooden Grant House is located in Penobscot Bay.",24.7
101,What non-fiction books has the author who has written books about the loyalist paramilitary Michael Stone and Special Air Service founder who During the course of the Second World War he became one of the British Army's most highly decorated soldiers?,the Troubles,"The question is asking for the non-fiction books written by the author about the loyalist paramilitary Michael Stone and the Special Air Service founder.

The relevant parts of the context are the sentences that describe the author's work, specifically mentioning books about Michael Stone and Paddy Mayne.

The answer is not explicitly stated in the context, but it can be inferred that the author has written books about both Michael Stone and Paddy Mayne, as mentioned in the context. However, the context does not provide specific titles of the books.

FINAL_ANSWER: The author has written books about Michael Stone and Paddy Mayne, but specific titles are not mentioned in the context.",28.6
102,What country of origin does Squirrel Nut Zippers and Sponge have in common?,American,"The question is asking for the country of origin that Squirrel Nut Zippers and Sponge have in common.

The relevant parts of the context are the descriptions of Squirrel Nut Zippers and Sponge.

The answer is that both Squirrel Nut Zippers and Sponge are from the United States.

FINAL_ANSWER: The United States",19.6
103,Hollywood Casino is owned by the company based in what Pennsylvania town?,Wyomissing,"The question is asking for the location of the company that owns Hollywood Casino.

The relevant parts of the context are the first sentence, which states that Hollywood Casino is a brand owned by Penn National Gaming, and the first sentence of the second paragraph, which mentions Penn National Gaming as the company based in Wyomissing, Pennsylvania.

The answer is based on the fact that Penn National Gaming is the company that owns Hollywood Casino, and it is based in Wyomissing, Pennsylvania.

FINAL_ANSWER: Wyomissing, Pennsylvania.",24.7
104,"In which year was this American actor, director, writer, producer, dancer and musician born who directed the film ""One, Two, Many?""",1965,"The question is asking for the birth year of the American actor, director, writer, producer, dancer, and musician who directed the film ""One, Two, Many"".

The relevant parts of the context are the information about Michael DeLorenzo, specifically his birthdate and profession.

The answer is based on the context, which states that Michael DeLorenzo was born on October 31, 1965.

FINAL_ANSWER: 1965",23.4
105,The Clausius–Clapeyron relation was named after a German physicist and mathematician who is considered one of the central founders of what area of science?,the science of thermodynamics,"The question is asking for the area of science that Rudolf Julius Emanuel Clausius is considered one of the central founders of.

The relevant parts of the context are the descriptions of Rudolf Clausius as a German physicist and mathematician, and his role as one of the central founders of the science of thermodynamics.

The answer is based on the context, which states that Rudolf Clausius is considered one of the central founders of the science of thermodynamics.

FINAL_ANSWER: Rudolf Clausius is considered one of the central founders of the science of thermodynamics.",25.2
106,"When was Elvis Presley's ""G.I. Blues"" which was released for the motion picture ""G.I. Blues""'s soundtrack?",October 1960,"The question is asking for the release date of Elvis Presley's ""G.I. Blues"" soundtrack, which is related to the motion picture ""G.I. Blues"".

The relevant parts of the context are the information about Elvis Presley's music, specifically his album ""Elvis Country"" and the release dates of his songs.

However, there is no mention of ""G.I. Blues"" in the context. The context only mentions ""Elvis Country (I'm 10,000 Years Old)"", which is the eleventh studio album by Elvis Presley, released in January 1971. There is also a mention of ""G.I. Blues"" as the title of a motion picture, but no information about the soundtrack.

Therefore, the answer cannot be determined based on the provided context.

FINAL_ANSWER: The context does not provide information about the release date of Elvis Presley's ""G.I. Blues"" soundtrack.",36.4
107,AeroLogic is a joint venture between Lufthansa and the division of what logistics company?,Deutsche Post DHL,"The question is asking for the logistics company that AeroLogic is a joint venture with.

The relevant parts of the context are:
- Deutsche Post DHL providing international courier, parcel and express mail services.
- DHL Express is a division of Deutsche Post DHL.

Based on this, the answer is that AeroLogic is a joint venture between Lufthansa and DHL Express, which is a division of Deutsche Post DHL.

FINAL_ANSWER: Deutsche Post DHL.",23.5
108,"What French formula racing driver that was 2014 Formula Renault 3.5 Series runner-up drove the Toro Rosso STR12 in 2017, a Formula One racing car designed and constructed by Scuderia Toro Rosso?",Pierre Gasly,"The question is asking for the French formula racing driver who was the 2014 Formula Renault 3.5 Series runner-up and drove the Toro Rosso STR12 in 2017.

The relevant parts of the context are the information about Pierre Gasly, the 2014 Formula Renault 3.5 Series runner-up, and the Toro Rosso STR12 car.

The answer is based on the context, which states that Pierre Gasly was the 2014 Formula Renault 3.5 Series runner-up and drove the Toro Rosso STR12 in 2017.

FINAL_ANSWER: Pierre Gasly.",36.7
109,"Amber Calling are an Australian pop punk and emo band from Adelaide, which formed in 2005 as 919, during their career they have supported shows by Panic! at the Disco, an American rock band from Las Vegas, Nevada, formed in what year?",2004,"The question is asking for the year Panic! at the Disco was formed.

The relevant parts of the context are the information about the band Amber Calling (formerly 919) and the American rock band Panic! at the Disco.

The answer is based on the context provided, which mentions that Amber Calling (919) supported shows by Panic! at the Disco, but does not explicitly state the year Panic! at the Disco was formed. However, based on general knowledge, Panic! at the Disco was formed in 2004.

FINAL_ANSWER: Panic! at the Disco was formed in 2004.",29.3
110,"The music program ""Yesterday"" was named after a song from what Beatles album?",Help!,"The question is asking which Beatles album the music program ""Yesterday"" was named after.

The relevant parts of the context are the information about the Beatles' song ""Yesterday"" and the album ""Rock 'n' Roll Music"".

The answer is based on the context that the song ""Yesterday"" is mentioned as part of the album ""Rock 'n' Roll Music"", which is a compilation album by the Beatles.

FINAL_ANSWER: The music program ""Yesterday"" was named after the song from the Beatles' album ""Rock 'n' Roll Music"".",27.7
111,The Trenton Prong is a section of the Piedmont province of what that was formed roughly 480 million years ago?,The Appalachian Mountains,"The question is asking for the geological formation that the Trenton Prong is a section of, which was formed roughly 480 million years ago.

The relevant parts of the context are the descriptions of the Appalachian Mountains and the Piedmont province.

The answer is based on the context that the Trenton Prong is a physiographic subprovince of the Piedmont Uplands section of the Piedmont province of the Appalachian Mountains, which was formed roughly 480 million years ago during the Ordovician Period.

FINAL_ANSWER: The Appalachian Mountains.",24.2
112,"Debuting in the 2004 American teen musical comedy film Confessions of a Teenage Drama Queen, Megan Fox went on to co-star in what 2007 blockbuster action film?",Transformers,"The question is asking for the title of the 2007 blockbuster action film that Megan Fox co-starred in.

The relevant parts of the context are the information about Megan Fox's breakout role in the 2007 film ""Transformers"" and her debut in the 2004 film ""Confessions of a Teenage Drama Queen"".

The answer is based on the context, which states that Megan Fox co-starred as Mikaela Banes in the 2007 blockbuster action film ""Transformers"".

FINAL_ANSWER: Transformers",27.0
113,Who writes poetry such as Glaring Through Oblivion as well as leading the heavy metal band System Of A Down?,Serj Tankian,"The question is asking for the person who writes poetry and also leads the heavy metal band System Of A Down.

The relevant parts of the context are the descriptions of Serj Tankian, the Armenian-American lead singer of System of a Down, and his book of poetry ""Glaring Through Oblivion"".

The answer is based on the context, which states that Serj Tankian is both the lead singer of System of a Down and the author of the poetry book ""Glaring Through Oblivion"".

FINAL_ANSWER: Serj Tankian.",27.3
114,Heartsounds was made into a 1984 film starring an actor who died in what year?,2014,"The question is asking for the year in which the actor who played the main character in the 1984 film ""Heartsounds"" died.

The relevant parts of the context are the information about Lucille Bremer, who was an American film actress and dancer, and the fact that Tommy Cooper, an impressionist, died in 1984 after collapsing with a heart attack on live national television.

The answer is based on the context, which states that Tommy Cooper, the voice of Tommy Cooper in the Lego 'Kipper' advertisement, collapsed with a heart attack on live national television in 1984 and died soon afterwards.

FINAL_ANSWER: The actor who played the main character in the 1984 film ""Heartsounds"" died in 1984.",32.5
115,Dean McCarthy played a boy becoming what in an adaptation of Billy Elliott? ,professional ballet dancer,"To answer the question, we need to identify the key elements mentioned in the context.

1. The question is asking about the role Dean McCarthy played in an adaptation of Billy Elliott.
2. The relevant parts of the context are the information about Billy Elliot the Musical and the film Billy Elliot.
3. The answer is based on the fact that Dean McCarthy played the role of Billy in ""Billy Elliot the Musical"", which is an adaptation of the film Billy Elliot.

FINAL_ANSWER: Dean McCarthy played the role of a boy becoming a professional ballet dancer.",24.6
116,The 3852 Democratic National Convention nominated Franklin Pierce over what American military officer who represented Michigan in the United States Senate?,Lewis Cass,"The question is asking for the American military officer who represented Michigan in the United States Senate that was passed over by the 1852 Democratic National Convention in favor of Franklin Pierce.

The relevant parts of the context are the descriptions of Lewis Cass and the 1852 Democratic National Convention.

The answer is based on the context, which states that Lewis Cass represented Michigan in the United States Senate and was the previous nominee in 1848, and that he was passed over by the 1852 Democratic National Convention in favor of Franklin Pierce.

FINAL_ANSWER: Lewis Cass was the American military officer who represented Michigan in the United States Senate that was passed over by the 1852 Democratic National Convention in favor of Franklin Pierce.",34.4
